name,location,rating,votes,cost,cuisines,cluster,segment
7 Plates,Frazer Town,3.9,169,600.0,"North Indian, Mughlai, Rolls, Fast Food",1,Budget crowd-pleasers
Hoppipola,Church Street,4.3,1708,1300.0,"Continental, Mediterranean, European",2,Hidden gems
Donne Biriyani Mane,Church Street,3.5,62,400.0,"Biryani, Kebab",0,Underperformers
Mad Over Biryani,Church Street,2.9,17,600.0,"North Indian, Biryani",0,Underperformers
Chilli Chicken,Brigade Road,3.1,7,500.0,Fast Food,0,Underperformers
ZOROY Luxury Chocolate,Church Street,4.0,68,250.0,Desserts,1,Budget crowd-pleasers
The Belgian Waffle Co.,Residency Road,3.7,73,350.0,"Desserts, Beverages",1,Budget crowd-pleasers
Panchavati Gaurav Thali,Brigade Road,4.0,929,800.0,"Rajasthani, Gujarati",1,Budget crowd-pleasers
Manjit Da Dhaba,Frazer Town,4.3,783,300.0,North Indian,1,Budget crowd-pleasers
Anupam's Coast II Coast,Church Street,4.1,853,1400.0,"Seafood, Mangalorean, North Indian, Chinese",2,Hidden gems
Happy Fillings,Ulsoor,3.4,8,300.0,Chinese,0,Underperformers
In Wok,Richmond Road,3.6,118,500.0,Chinese,1,Budget crowd-pleasers
Pabrai's Fresh & Naturelle Icecreams,Brigade Road,4.2,131,180.0,"Ice Cream, Desserts",1,Budget crowd-pleasers
Happy Belly Bakes,MG Road,4.2,116,500.0,"Cafe, Bakery",1,Budget crowd-pleasers
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Ulsoor,3.9,462,800.0,"Cafe, American, Continental, Steak",1,Budget crowd-pleasers
Mani's Dum Biryani,Ulsoor,4.0,175,750.0,"Biryani, Kebab",1,Budget crowd-pleasers
Foody's,Shanti Nagar,3.8,169,250.0,"North Indian, South Indian",1,Budget crowd-pleasers
Bread and Circus,Shanti Nagar,3.7,50,550.0,"Cafe, Fast Food, Pizza, Burger",1,Budget crowd-pleasers
Swathi Deluxe Restaurant,Shanti Nagar,3.0,74,500.0,North Indian,0,Underperformers
Marzipan Cafe & Bakery,Ulsoor,4.2,432,700.0,"Cafe, Mediterranean, Bakery, Greek, Beverages",1,Budget crowd-pleasers
Sri Krishna Sweets,Indiranagar,3.8,33,250.0,Mithai,1,Budget crowd-pleasers
Fullyfilled,Indiranagar,4.0,48,200.0,"Sandwich, Fast Food, Momos",1,Budget crowd-pleasers
The Yogisthaan Cafe,Indiranagar,4.2,1207,600.0,"Cafe, Healthy Food, Salad, Beverages",1,Budget crowd-pleasers
Desi Inn,Shanti Nagar,3.5,13,300.0,North Indian,0,Underperformers
Ishta Upahar,Ulsoor,3.4,41,100.0,South Indian,0,Underperformers
Al Swaad Take Away,Richmond Road,3.1,13,350.0,"North Indian, South Indian, Arabian",0,Underperformers
Karavali Kolimane,Wilson Garden,3.7,28,350.0,"Mangalorean, Chinese, North Indian",1,Budget crowd-pleasers
Ambur Star Briyani,Indiranagar,3.7,17,500.0,"North Indian, Chinese, Biryani",1,Budget crowd-pleasers
Nagarjuna,Residency Road,4.3,1772,800.0,"Andhra, Biryani",2,Hidden gems
Hyderabad Biryaani House,Richmond Road,4.3,1352,550.0,"Biryani, North Indian, Chinese",1,Budget crowd-pleasers
Sunny's,Lavelle Road,4.1,1330,2100.0,"European, Italian, Seafood, Continental",2,Hidden gems
Truffles,St. Marks Road,4.5,3573,900.0,"Cafe, American, Burger, Steak",3,Star restaurants
Millers 46,Vasanth Nagar,4.4,2266,1100.0,"American, Continental, Steak",2,Hidden gems
Green Onion,Residency Road,4.3,1187,550.0,Chinese,1,Budget crowd-pleasers
Sakae Japanese Restaurant,Shanti Nagar,4.3,519,1400.0,Japanese,2,Hidden gems
Samrat Restaurant,Race Course Road,4.1,484,600.0,"South Indian, North Indian",1,Budget crowd-pleasers
Art of Delight,Residency Road,4.4,1899,400.0,"Ice Cream, Desserts, Beverages",1,Budget crowd-pleasers
Japan Travel Cafe Azuki,Residency Road,4.3,67,400.0,"Cafe, Japanese",1,Budget crowd-pleasers
Khazana Food Paradise,Richmond Road,4.1,358,400.0,"North Indian, Biryani",1,Budget crowd-pleasers
Cafe Kaara,Ulsoor,4.2,164,750.0,"Cafe, Salad, Desserts, Pizza",1,Budget crowd-pleasers
CAMP TANDOOR,Ulsoor,3.7,15,300.0,North Indian,1,Budget crowd-pleasers
Pashto,Residency Road,4.1,768,800.0,"North Indian, Mughlai, Afghan",1,Budget crowd-pleasers
Lakeview Milkbar,MG Road,4.0,1445,500.0,"Desserts, Cafe, Fast Food",1,Budget crowd-pleasers
Juice Junction,St. Marks Road,4.0,101,150.0,"Juices, Fast Food",1,Budget crowd-pleasers
Raidan Restaurant,Frazer Town,3.9,169,600.0,"Arabian, Chinese, Fast Food",1,Budget crowd-pleasers
KAARA BY THE LAKE,Ulsoor,4.0,47,750.0,"Cafe, Italian, Coffee",1,Budget crowd-pleasers
Konark Vegetarian Restaurant,Lavelle Road,3.9,155,600.0,"North Indian, Chinese, Continental, South Indian",1,Budget crowd-pleasers
Sugarberryz Cakery,Commercial Street,3.9,53,1200.0,"Bakery, Desserts",2,Hidden gems
Trick Or Treat,Brigade Road,4.2,618,500.0,"Cafe, Burger, Continental, Pizza, Steak",1,Budget crowd-pleasers
Nandhini Deluxe,Frazer Town,3.6,196,600.0,North Indian,1,Budget crowd-pleasers
The Biryani Paradise,Richmond Road,3.8,32,350.0,"Biryani, South Indian",1,Budget crowd-pleasers
Stars 'N' Stripes,MG Road,2.7,77,500.0,"North Indian, Chinese, Fast Food",0,Underperformers
Juicemaker,Cunningham Road,3.8,29,400.0,"Beverages, Fast Food",1,Budget crowd-pleasers
Skyline Family Restaurant,Shanti Nagar,3.4,33,550.0,"North Indian, Chinese, Seafood, Mangalorean",0,Underperformers
New Prashanth Naati Style,Cunningham Road,3.8,29,400.0,"South Indian, Biryani",1,Budget crowd-pleasers
All Saints Bakery,Brigade Road,3.6,23,200.0,Bakery,1,Budget crowd-pleasers
Little Chef,Richmond Road,4.0,102,550.0,Chinese,1,Budget crowd-pleasers
Tibbs Frankie,Brigade Road,3.8,24,200.0,"Street Food, Rolls",1,Budget crowd-pleasers
California Burrito,Cunningham Road,4.0,53,400.0,"Mexican, Fast Food",1,Budget crowd-pleasers
Aroma Of Asia,Frazer Town,3.9,49,400.0,"Fast Food, Momos",1,Budget crowd-pleasers
Iyengars' Bakery,Richmond Road,3.4,14,200.0,Bakery,0,Underperformers
Rolls On Wheels,Cunningham Road,3.7,61,200.0,"Fast Food, Rolls, Momos",1,Budget crowd-pleasers
Grand Spicy Restaurant,Cunningham Road,3.6,34,700.0,"North Indian, Mughlai, Chinese",1,Budget crowd-pleasers
Sidewalk Cafe - Nahar's Heritage Hotel,St. Marks Road,3.9,136,800.0,"Italian, Fast Food",1,Budget crowd-pleasers
Haji Ali Juice Centre,MG Road,3.8,22,350.0,"Beverages, Cafe, Juices, Fast Food",1,Budget crowd-pleasers
Lickity Garden,Frazer Town,3.2,4,750.0,"Continental, Mexican, Biryani, Italian, Chinese, Arabian, Steak",0,Underperformers
Yomama!!,Brigade Road,3.6,7,800.0,"Continental, Burger, Cafe, Steak",1,Budget crowd-pleasers
Peppa Zzing,Infantry Road,4.3,1133,800.0,"Cafe, Fast Food, Burger",2,Hidden gems
Halli Oota,St. Marks Road,3.3,6,450.0,"South Indian, Biryani",0,Underperformers
China Hut,Frazer Town,3.8,56,500.0,Chinese,1,Budget crowd-pleasers
Pop'z Kitchen,Lavelle Road,3.7,23,250.0,Bakery,1,Budget crowd-pleasers
Canopy,MG Road,3.0,108,800.0,"North Indian, Continental, Chinese",0,Underperformers
Cafe @ Elanza,Richmond Road,3.7,145,1000.0,"Chinese, North Indian, Cafe",1,Budget crowd-pleasers
Chai Ki Tapri,MG Road,3.7,16,250.0,Cafe,1,Budget crowd-pleasers
Tempura Restaurant,Brigade Road,3.9,122,500.0,"Japanese, Chinese, Tibetan, Momos",1,Budget crowd-pleasers
Choi Choi Momos,Brigade Road,3.8,29,300.0,"Chinese, Fast Food, Momos",1,Budget crowd-pleasers
Chocolate Junction,Ulsoor,3.8,29,200.0,Desserts,1,Budget crowd-pleasers
Ultra Biriyani Paradise,Shanti Nagar,3.3,9,300.0,Biryani,0,Underperformers
Nithyothsav - Hotel Ramanashree,MG Road,3.0,31,1000.0,"North Indian, Chinese",0,Underperformers
Hashtag Cafe,Brigade Road,2.8,44,700.0,"Cafe, Continental, European, Italian",0,Underperformers
Gundappa Donne Biryani,St. Marks Road,3.7,161,300.0,Biryani,1,Budget crowd-pleasers
Stir Fry,Residency Road,4.0,209,500.0,"Chinese, Momos",1,Budget crowd-pleasers
Shanthi Sagar Deluxe,Frazer Town,2.7,52,500.0,"South Indian, North Indian, Fast Food",0,Underperformers
New Arya Bhavan,MG Road,3.1,23,300.0,"Street Food, Beverages, North Indian",0,Underperformers
Croons,Brigade Road,3.8,26,350.0,Desserts,1,Budget crowd-pleasers
MiniMelts,Brigade Road,3.9,66,200.0,"Ice Cream, Desserts",1,Budget crowd-pleasers
Aathithya,Infantry Road,3.1,16,1100.0,"North Indian, Continental, Chinese",0,Underperformers
VT Sindhur Veg,Richmond Road,3.3,13,600.0,"North Indian, Chinese",0,Underperformers
Hotel Green Tara,Brigade Road,3.9,40,500.0,"Chinese, Tibetan, Momos",1,Budget crowd-pleasers
Nagashree's,Shanti Nagar,2.9,46,550.0,"South Indian, North Indian, Fast Food",0,Underperformers
Mughals Restaurant,Shivajinagar,3.2,17,550.0,"Mughlai, North Indian, Chinese, Biryani, Seafood",0,Underperformers
Sri Krishna Foodline,Ulsoor,3.3,4,100.0,North Indian,0,Underperformers
Indy's Comfort Food,Shivajinagar,4.1,399,300.0,"North Indian, Beverages, Fast Food",1,Budget crowd-pleasers
Chaithanya Andhra Style Family Restaurant,Cunningham Road,3.2,4,600.0,"Andhra, North Indian, Chinese",0,Underperformers
The Sugar Therapy,Richmond Road,3.8,26,500.0,"Desserts, Bakery",1,Budget crowd-pleasers
Al Sadique Restaurant,Frazer Town,3.5,31,350.0,"Mughlai, North Indian, Street Food",0,Underperformers
Shake N Snack,Shanti Nagar,3.6,18,200.0,"Beverages, Fast Food",1,Budget crowd-pleasers
Feast and Burp,Bannerghatta Road,3.3,4,300.0,North Indian,0,Underperformers
New Kohinoor Hotel,Commercial Street,3.2,9,450.0,North Indian,0,Underperformers
Little Bites,MG Road,3.6,7,200.0,"Cafe, Fast Food",1,Budget crowd-pleasers
Hatti Punjab Di,Brigade Road,3.4,8,450.0,North Indian,0,Underperformers
RR Catering,MG Road,3.4,10,350.0,"North Indian, Chinese, Biryani",0,Underperformers
Ambur Hot Dum Biryani,Shanti Nagar,3.1,6,250.0,"Biryani, Kebab",0,Underperformers
Kanis Kitchen,Shivajinagar,3.6,14,250.0,South Indian,1,Budget crowd-pleasers
Hit and Run,Central Bangalore,3.7,15,350.0,"Fast Food, Continental",1,Budget crowd-pleasers
Le ChÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ri,Shanti Nagar,3.8,33,350.0,"Bakery, Desserts",1,Budget crowd-pleasers
